run_id,fault_type,noise,phase_focus,t_fault,T_delay_s,T_missed,T_false_alarms,R_delay_s,R_missed,R_false_alarms
fault_bias_noise_med_seed_121_phase_climb,bias,med,climb,109.747042760874,0,0,8,0,0,8
fault_bias_noise_med_seed_122_phase_climb,bias,med,climb,93.3581789513043,0,0,2,0,0,2
fault_bias_noise_med_seed_123_phase_climb,bias,med,climb,80.1065032716006,0,0,6,0,0,6
fault_bias_noise_med_seed_124_phase_climb,bias,med,climb,84.6904315922045,0,0,7,0,0,7
fault_bias_noise_med_seed_125_phase_climb,bias,med,climb,86.7064532221864,0,0,6,0,0,6
fault_bias_noise_med_seed_126_phase_climb,bias,med,climb,113.108970590118,0,0,4,0,0,4
fault_bias_noise_med_seed_127_phase_climb,bias,med,climb,113.517111644429,0,0,5,0,0,5
fault_bias_noise_med_seed_128_phase_climb,bias,med,climb,68.8963598966699,0,0,2,0,0,2
fault_bias_noise_med_seed_129_phase_climb,bias,med,climb,115.807538804513,0,0,3,0,0,3
fault_bias_noise_med_seed_130_phase_climb,bias,med,climb,69.3464225600945,0,0,5,0,0,5
fault_bias_noise_med_seed_131_phase_climb,bias,med,climb,116.446070860149,0,0,1,0,0,1
fault_bias_noise_med_seed_132_phase_climb,bias,med,climb,98.2842887524668,0,0,2,0,0,2
fault_bias_noise_med_seed_133_phase_climb,bias,med,climb,79.4681650615127,0,0,1,0,0,1
fault_bias_noise_med_seed_134_phase_climb,bias,med,climb,115.07103257666,0,0,5,0,0,5
fault_bias_noise_med_seed_135_phase_climb,bias,med,climb,107.075033937129,0,0,9,0,0,9
fault_bias_noise_med_seed_136_phase_climb,bias,med,climb,101.489956920408,0,0,5,0,0,5
fault_bias_noise_med_seed_137_phase_climb,bias,med,climb,63.538742608863,0,0,1,0,0,1
fault_bias_noise_med_seed_138_phase_climb,bias,med,climb,106.848085585085,0,0,6,0,0,6
fault_bias_noise_med_seed_139_phase_climb,bias,med,climb,115.43095797004,0,0,3,0,0,3
fault_bias_noise_med_seed_140_phase_climb,bias,med,climb,91.8013099646939,0,0,2,0,0,2
fault_bias_noise_med_seed_141_phase_climb,bias,med,climb,74.0391034154644,0,0,1,0,0,1
fault_bias_noise_med_seed_142_phase_climb,bias,med,climb,99.0850562722261,0,0,3,0,0,3
fault_bias_noise_med_seed_143_phase_climb,bias,med,climb,85.4538290720892,0,0,4,0,0,4
fault_bias_noise_med_seed_144_phase_climb,bias,med,climb,85.9468277619072,0,0,3,0,0,3
fault_bias_noise_med_seed_145_phase_climb,bias,med,climb,119.328334344587,0,0,1,0,0,1
fault_bias_noise_med_seed_146_phase_climb,bias,med,climb,89.6081392000358,0,0,4,0,0,4
fault_bias_noise_med_seed_147_phase_climb,bias,med,climb,101.926340947071,0,0,2,0,0,2
fault_bias_noise_med_seed_148_phase_climb,bias,med,climb,109.030450484089,0,0,6,0,0,6
fault_bias_noise_med_seed_149_phase_climb,bias,med,climb,69.3771538762987,0,0,3,0,0,3
fault_bias_noise_med_seed_150_phase_climb,bias,med,climb,118.725436900918,0,0,1,0,0,1
fault_bias_noise_med_seed_151_phase_descent,bias,med,descent,528.369287634926,0,0,15,0,0,15
fault_bias_noise_med_seed_152_phase_descent,bias,med,descent,535.374508872619,0,0,26,0,0,26
fault_bias_noise_med_seed_153_phase_descent,bias,med,descent,498.709906007783,0,0,34,0,0,34
fault_bias_noise_med_seed_154_phase_descent,bias,med,descent,497.449747120553,0,0,13,0,0,13
fault_bias_noise_med_seed_155_phase_descent,bias,med,descent,501.763836736658,0,0,18,0,0,18
fault_bias_noise_med_seed_156_phase_descent,bias,med,descent,496.194819609201,0,0,20,0,0,20
fault_bias_noise_med_seed_157_phase_descent,bias,med,descent,495.471927942255,0,0,20,0,0,20
fault_bias_noise_med_seed_158_phase_descent,bias,med,descent,514.938823805044,0,0,20,0,0,20
fault_bias_noise_med_seed_159_phase_descent,bias,med,descent,516.675834493269,0,0,23,0,0,23
fault_bias_noise_med_seed_160_phase_descent,bias,med,descent,537.900887671376,0,0,27,0,0,27
fault_bias_noise_med_seed_161_phase_descent,bias,med,descent,538.280362274938,0,0,29,0,0,29
fault_bias_noise_med_seed_162_phase_descent,bias,med,descent,538.088964887093,0,0,18,0,0,18
fault_bias_noise_med_seed_163_phase_descent,bias,med,descent,513.169309863007,0,0,26,0,0,26
fault_bias_noise_med_seed_164_phase_descent,bias,med,descent,510.58584959069,0,0,23,0,0,23
fault_bias_noise_med_seed_165_phase_descent,bias,med,descent,512.045174891449,0,0,17,0,0,17
fault_bias_noise_med_seed_166_phase_descent,bias,med,descent,516.972374382207,0,0,23,0,0,23
fault_bias_noise_med_seed_167_phase_descent,bias,med,descent,495.547376634861,0,0,17,0,0,17
fault_bias_noise_med_seed_168_phase_descent,bias,med,descent,495.459970237192,0,0,24,0,0,24
fault_bias_noise_med_seed_169_phase_descent,bias,med,descent,517.998063757345,0,0,19,0,0,19
fault_bias_noise_med_seed_170_phase_descent,bias,med,descent,496.709481013877,0,0,24,0,0,24
fault_bias_noise_med_seed_171_phase_descent,bias,med,descent,501.084096755596,0,0,21,0,0,21
fault_bias_noise_med_seed_172_phase_descent,bias,med,descent,499.842080073363,0,0,17,0,0,17
fault_bias_noise_med_seed_173_phase_descent,bias,med,descent,513.513384510532,0,0,33,0,0,33
fault_bias_noise_med_seed_174_phase_descent,bias,med,descent,517.402266904295,0,0,20,0,0,20
fault_bias_noise_med_seed_175_phase_descent,bias,med,descent,516.438163907922,0,0,22,0,0,22
fault_bias_noise_med_seed_176_phase_descent,bias,med,descent,536.951496776753,0,0,24,0,0,24
fault_bias_noise_med_seed_177_phase_descent,bias,med,descent,509.406568164744,0,0,22,0,0,22
fault_bias_noise_med_seed_178_phase_descent,bias,med,descent,506.885978034653,0,0,19,0,0,19
fault_bias_noise_med_seed_179_phase_descent,bias,med,descent,529.399646716621,0,0,20,0,0,20
fault_bias_noise_med_seed_180_phase_descent,bias,med,descent,501.742271481201,0,0,21,0,0,21
fault_bias_noise_med_seed_181_phase_descent,bias,med,descent,502.661892320241,0,0,20,0,0,20
fault_bias_noise_med_seed_182_phase_descent,bias,med,descent,509.734564322442,0,0,21,0,0,21
fault_bias_noise_med_seed_183_phase_descent,bias,med,descent,521.214294515416,0,0,33,0,0,33
fault_bias_noise_med_seed_184_phase_descent,bias,med,descent,527.326236845088,0,0,28,0,0,28
fault_bias_noise_med_seed_185_phase_descent,bias,med,descent,531.077202782182,0,0,27,0,0,27
fault_bias_noise_med_seed_186_phase_descent,bias,med,descent,501.458361896632,0,0,21,0,0,21
fault_bias_noise_med_seed_187_phase_descent,bias,med,descent,496.377926044767,0,0,24,0,0,24
fault_bias_noise_med_seed_188_phase_descent,bias,med,descent,516.665030289568,0,0,18,0,0,18
fault_bias_noise_med_seed_189_phase_descent,bias,med,descent,499.392293289819,0,0,19,0,0,19
fault_bias_noise_med_seed_190_phase_descent,bias,med,descent,534.006447215575,0,0,23,0,0,23
fault_bias_noise_med_seed_191_phase_descent,bias,med,descent,513.188511566834,0,0,26,0,0,26
fault_bias_noise_med_seed_192_phase_descent,bias,med,descent,529.550585578434,0,0,27,0,0,27
fault_bias_noise_med_seed_193_phase_descent,bias,med,descent,495.617179059956,0,0,20,0,0,20
fault_bias_noise_med_seed_194_phase_descent,bias,med,descent,520.681890631213,0,0,17,0,0,17
fault_bias_noise_med_seed_195_phase_descent,bias,med,descent,506.839738224834,0,0,14,0,0,14
fault_bias_noise_med_seed_196_phase_descent,bias,med,descent,532.800895587439,0,0,30,0,0,30
fault_bias_noise_med_seed_197_phase_descent,bias,med,descent,518.525333615543,0,0,23,0,0,23
fault_bias_noise_med_seed_198_phase_descent,bias,med,descent,539.609395030547,0,0,17,0,0,17
fault_bias_noise_med_seed_199_phase_descent,bias,med,descent,503.082204216669,0,0,22,0,0,22
fault_bias_noise_med_seed_200_phase_descent,bias,med,descent,537.435530793404,0,0,24,0,0,24
fault_bias_noise_high_seed_201_phase_climb,bias,high,climb,99.5041273787341,0,0,110,0,0,110
fault_bias_noise_high_seed_202_phase_climb,bias,high,climb,119.579383175831,0,0,129,0,0,129
fault_bias_noise_high_seed_203_phase_climb,bias,high,climb,71.0750170561349,0,0,78,0,0,78
fault_bias_noise_high_seed_204_phase_climb,bias,high,climb,69.2320485388821,0,0,72,0,0,72
fault_bias_noise_high_seed_205_phase_climb,bias,high,climb,101.929560509184,0,0,114,0,0,114
fault_bias_noise_high_seed_206_phase_climb,bias,high,climb,92.4761955848054,0,0,106,0,0,106
fault_bias_noise_high_seed_207_phase_climb,bias,high,climb,86.7721063237342,0,0,99,0,0,99
fault_bias_noise_high_seed_208_phase_climb,bias,high,climb,69.0040413421313,0,0,76,0,0,76
fault_bias_noise_high_seed_209_phase_climb,bias,high,climb,98.4917075836641,0,0,96,0,0,96
fault_bias_noise_high_seed_210_phase_climb,bias,high,climb,102.082646152893,0,0,113,0,0,113
fault_bias_noise_high_seed_211_phase_climb,bias,high,climb,70.5779911383657,0,0,83,0,0,83
fault_bias_noise_high_seed_212_phase_climb,bias,high,climb,63.9105020076362,0,0,76,0,0,76
fault_bias_noise_high_seed_213_phase_climb,bias,high,climb,117.143067509487,0,0,130,0,0,130
fault_bias_noise_high_seed_214_phase_climb,bias,high,climb,98.9137832191315,0,0,100,0,0,100
fault_bias_noise_high_seed_215_phase_climb,bias,high,climb,68.8657654830661,0,0,71,0,0,71
fault_bias_noise_high_seed_216_phase_climb,bias,high,climb,88.9049656033013,0,0,100,0,0,100
fault_bias_noise_high_seed_217_phase_climb,bias,high,climb,94.938072136519,0,0,100,0,0,100
fault_bias_noise_high_seed_218_phase_climb,bias,high,climb,81.4929348235683,0,0,91,0,0,91
fault_bias_noise_high_seed_219_phase_climb,bias,high,climb,88.3759691874639,0,0,97,0,0,97
fault_bias_noise_high_seed_220_phase_climb,bias,high,climb,62.3366273916911,0,0,66,0,0,66
fault_bias_noise_high_seed_221_phase_climb,bias,high,climb,77.7992765011957,0,0,79,0,0,79
fault_bias_noise_high_seed_222_phase_climb,bias,high,climb,107.969739989002,0,0,111,0,0,111
fault_bias_noise_high_seed_223_phase_climb,bias,high,climb,80.256968555869,0,0,83,0,0,83
fault_bias_noise_high_seed_224_phase_climb,bias,high,climb,100.620957683913,0,0,115,0,0,115
fault_bias_noise_high_seed_225_phase_climb,bias,high,climb,64.7282677931158,0,0,86,0,0,86
fault_bias_noise_high_seed_226_phase_climb,bias,high,climb,62.2346614130758,0,0,61,0,0,61
fault_bias_noise_high_seed_227_phase_climb,bias,high,climb,62.6721416115282,0,0,74,0,0,74
fault_bias_noise_high_seed_228_phase_climb,bias,high,climb,92.9737207413642,0,0,106,0,0,106
fault_bias_noise_high_seed_229_phase_climb,bias,high,climb,76.4591933030039,0,0,86,0,0,86
fault_bias_noise_high_seed_230_phase_climb,bias,high,climb,61.646942226619,0,0,78,0,0,78
fault_bias_noise_high_seed_231_phase_climb,bias,high,climb,84.182033682248,0,0,98,0,0,98
fault_bias_noise_high_seed_232_phase_climb,bias,high,climb,89.5771313069795,0,0,115,0,0,115
fault_bias_noise_high_seed_233_phase_climb,bias,high,climb,74.5675659519386,0,0,87,0,0,87
fault_bias_noise_high_seed_234_phase_climb,bias,high,climb,79.0882579341998,0,0,86,0,0,86
fault_bias_noise_high_seed_235_phase_climb,bias,high,climb,99.8678003870269,0,0,111,0,0,111
fault_bias_noise_high_seed_236_phase_climb,bias,high,climb,97.2711278162557,0,0,101,0,0,101
fault_bias_noise_high_seed_237_phase_climb,bias,high,climb,115.602322429418,0,0,147,0,0,147
fault_bias_noise_high_seed_238_phase_climb,bias,high,climb,100.717473222253,0,0,119,0,0,119
fault_bias_noise_high_seed_239_phase_climb,bias,high,climb,95.9753536564984,0,0,103,0,0,103
fault_bias_noise_high_seed_240_phase_climb,bias,high,climb,82.3610606322519,0,0,98,0,0,98
fault_bias_noise_high_seed_241_phase_climb,bias,high,climb,68.2570886111667,0,0,79,0,0,79
fault_bias_noise_high_seed_242_phase_climb,bias,high,climb,94.7091900048107,0,0,113,0,0,113
